DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
2019-03-21,5.2,FLC,5.32,5.33,5.2,6283180.0
2019-03-20,5.31,FLC,5.31,5.34,5.28,6871690.0
2019-03-19,5.31,FLC,5.43,5.44,5.31,1.062019E7
2019-03-18,5.42,FLC,5.4,5.42,5.37,6209980.0
2019-03-15,5.37,FLC,5.4,5.45,5.36,6744660.0
2019-03-14,5.4,FLC,5.41,5.47,5.37,6197480.0
2019-03-13,5.4,FLC,5.49,5.49,5.4,1.104749E7
2019-03-12,5.46,FLC,5.5,5.53,5.44,7410250.0
2019-03-11,5.46,FLC,5.48,5.51,5.44,7568740.0
2019-03-08,5.45,FLC,5.52,5.54,5.45,1.050888E7
2019-03-07,5.55,FLC,5.69,5.74,5.55,1.404335E7
2019-03-06,5.65,FLC,5.57,5.7,5.56,1.668681E7
2019-03-05,5.54,FLC,5.46,5.66,5.43,1.91708E7
2019-03-04,5.46,FLC,5.47,5.52,5.42,1.034534E7
2019-03-01,5.45,FLC,5.41,5.49,5.4,6104160.0
2019-02-28,5.38,FLC,5.63,5.7,5.38,1.559067E7
2019-02-27,5.6,FLC,5.46,5.71,5.41,2.615962E7
2019-02-26,5.41,FLC,5.37,5.48,5.35,1.596328E7
2019-02-25,5.34,FLC,5.38,5.39,5.34,5618860.0
2019-02-22,5.32,FLC,5.31,5.39,5.27,7314600.0
2019-02-21,5.31,FLC,5.38,5.38,5.29,7653970.0
2019-02-20,5.35,FLC,5.38,5.42,5.35,4528540.0
2019-02-19,5.37,FLC,5.4,5.48,5.36,9831920.0
2019-02-18,5.37,FLC,5.36,5.38,5.33,4375670.0
2019-02-15,5.32,FLC,5.37,5.39,5.31,4635000.0
2019-02-14,5.37,FLC,5.38,5.42,5.36,7111230.0
2019-02-13,5.37,FLC,5.42,5.45,5.36,5593940.0
2019-02-12,5.39,FLC,5.3,5.45,5.28,9794880.0
2019-02-11,5.25,FLC,5.23,5.32,5.2,3846270.0
2019-02-01,5.18,FLC,5.2,5.22,5.15,4116310.0
2019-01-31,5.15,FLC,5.18,5.22,5.15,2219800.0
2019-01-30,5.15,FLC,5.11,5.2,5.09,3647820.0
2019-01-29,5.1,FLC,5.14,5.15,5.09,3847280.0
2019-01-28,5.14,FLC,5.18,5.22,5.13,3615050.0
2019-01-25,5.18,FLC,5.25,5.26,5.18,3869380.0
2019-01-24,5.23,FLC,5.23,5.33,5.23,4014140.0
2019-01-23,5.24,FLC,5.23,5.29,5.22,4273580.0
2019-01-22,5.26,FLC,5.35,5.4,5.25,1.096362E7
2019-01-21,5.35,FLC,5.47,5.48,5.35,6819310.0
2019-01-18,5.45,FLC,5.53,5.59,5.45,7596270.0
2019-01-17,5.5,FLC,5.46,5.66,5.44,2.404407E7
2019-01-16,5.42,FLC,5.4,5.48,5.29,1.076929E7
2019-01-15,5.39,FLC,5.43,5.46,5.39,4978760.0
2019-01-14,5.39,FLC,5.55,5.55,5.39,1.007475E7
2019-01-11,5.32,FLC,5.26,5.35,5.25,6945220.0
2019-01-10,5.2,FLC,5.27,5.34,5.18,4229980.0
2019-01-09,5.26,FLC,5.48,5.48,5.23,7396470.0
2019-01-08,5.34,FLC,5.13,5.35,5.09,6679160.0
2019-01-07,5.13,FLC,5.13,5.19,5.13,2496730.0
2019-01-04,5.05,FLC,4.95,5.08,4.93,3400350.0
2019-01-03,5.05,FLC,5.11,5.14,4.9,6074050.0
2019-01-02,5.11,FLC,5.14,5.19,5.1,2788640.0
2018-12-28,5.14,FLC,5.17,5.2,5.14,4754080.0
2018-12-27,5.16,FLC,5.28,5.28,5.16,2135950.0
2018-12-26,5.15,FLC,5.21,5.21,5.14,4127560.0
2018-12-25,5.15,FLC,5.25,5.26,5.14,7822240.0
2018-12-24,5.3,FLC,5.35,5.41,5.3,2819930.0
2018-12-21,5.33,FLC,5.3,5.35,5.25,3800250.0
2018-12-20,5.33,FLC,5.31,5.36,5.28,4344270.0
2018-12-19,5.36,FLC,5.4,5.41,5.35,2661710.0
2018-12-18,5.38,FLC,5.42,5.45,5.34,4988210.0
2018-12-17,5.46,FLC,5.41,5.61,5.4,1.165341E7
2018-12-14,5.37,FLC,5.39,5.4,5.35,3562920.0
2018-12-13,5.4,FLC,5.44,5.47,5.38,4657760.0
2018-12-12,5.38,FLC,5.32,5.42,5.32,4830760.0
2018-12-11,5.31,FLC,5.33,5.37,5.3,4048590.0
2018-12-10,5.32,FLC,5.36,5.37,5.32,3133920.0
2018-12-07,5.36,FLC,5.32,5.44,5.32,4689610.0
2018-12-06,5.3,FLC,5.35,5.39,5.29,2841690.0
2018-12-05,5.33,FLC,5.33,5.37,5.31,3863460.0
2018-12-04,5.4,FLC,5.39,5.52,5.38,6927400.0
2018-12-03,5.37,FLC,5.28,5.39,5.28,4477940.0
